pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
116.875512,-44.0584,180.0,top,C1,,,CP_Radial_D5.0mm_P2.50mm,10µF,tht
67.7734,-65.6334,0.0,top,D1,,,LED_D3.0mm,OK,tht
64.5984,-65.6334,180.0,top,D2,,,LED_D3.0mm,FAILURE,tht
94.4434,-61.8234,180.0,top,D3,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N4004,tht
116.0334,-51.0284,-90.0,top,D4,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N5819,tht
67.7734,-72.6184,0.0,top,J1,,,PinHeader_1x02_P2.54mm_Vertical,12V Out,tht
107.9234,-70.0934,0.0,top,J3,,,PinHeader_1x02_P2.54mm_Vertical,12V In,tht
96.5504,-72.6894,-90.0,top,K1,,,Relay_SPDT_Omron-G5LE-1,OMRON G5LE-1-VD,tht
78.3324,-58.7904,-90.0,top,Q1,,,TO-92_Inline,PN2222A,tht
67.7734,-52.9334,-90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R,tht
62.0584,-52.9334,-90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,R,tht
94.5884,-58.2824,180.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1KΩ,tht
103.7324,-61.2034,0.0,top,U1,,,TO-220-3_Horizontal_TabDown,PSU2-5,tht
85.7004,-44.0894,90.0,top,U2,,,Waveshare-ESP32-C3-Zero,ESP32-C3-Zero,smt
